Initial Setting;number of classes;Number of attributes;Number of references;Max hierarchical concatenation;Max DIT;Maintainability;Understandability;Complexity;Reusability;
http://www.opengis.net/citygml/cityfurniture/1.0;2.0;17.0;4.0;3.0;2.0;5.6;2.5;2.5;0.4;
platform:/plugin/org.eclipse.e4.tm/model/tm/styles.ecore;7.0;3.0;7.0;1.0;2.0;4.0;1.4285715;1.4285715;0.375;
http://schmeedy.com/pdt/joomla/server;11.0;11.0;26.0;1.0;3.0;10.4;1.1818181;16.181818;0.3018868;
www.ucd.ie/BONModel;29.0;31.0;18.0;3.0;3.0;16.8;2.2068965;29.206896;0.5882353;
caNopen;110.0;450.0;269.0;1.0;4.0;166.8;1.0181818;1.0181818;0.0;
http://www.eclipse.org/wsdl/2003/WSDL;108.0;158.0;131.0;8.0;5.0;82.0;4.1944447;102.19444;0.6752809;
http://www.ioicompanies.org/lang/IOI;6.0;7.0;6.0;1.0;2.0;4.4;1.1666666;2.1666665;0.1875;
http://moviedb.akluge.de;2.0;0.0;4.0;0.0;0.0;1.2;1.0;1.0;0.0;
http://www.emftext.org/language/pacad;20.0;18.0;19.0;3.0;2.0;12.4;2.05;16.05;0.3508772;
http://www.xtext.org/example/helloscoping/HelloScoping;4.0;5.0;2.0;0.0;1.0;2.4;1.0;3.0;0.0;
http://www.emftext.org/language/BON;25.0;33.0;4.0;2.0;2.0;13.2;1.84;12.84;0.47142857;
http://www.guixdsl.org/Guixdsl;4.0;1.0;3.0;1.0;1.0;2.0;1.5;1.5;0.5;
http://www.emftext.org/language/class_diagramm;14.0;14.0;13.0;1.0;1.0;8.6;1.5;7.5;0.0;
http://mmocore.ru/model/1.0.0;15.0;9.0;15.0;4.0;2.0;9.0;1.9333333;8.933333;0.5294118;
http://www.thalesgroup.com/spem/2.0;98.0;97.0;58.0;10.0;3.0;53.2;5.428571;97.42857;0.89604294;
http://www.paranor.ch/alan/pdcspecio/PdcSpecIO;13.0;24.0;34.0;1.0;3.0;15.0;1.2307693;5.230769;0.13432837;
http://uforthrt/1.0;5.0;4.0;5.0;0.0;1.0;3.0;1.0;1.0;0.0;
http://www.robotoworks.com/mechanoid/net/NetModel;38.0;22.0;19.0;4.0;4.0;17.4;2.2368422;4.236842;0.28070176;
http://xored.com/x5/1.0;5.0;2.0;8.0;1.0;1.0;3.4;1.4;1.4;0.0;
http://www.kermeta.org/car;8.0;2.0;0.0;1.0;1.0;2.4;1.625;1.625;0.0;
http://genericity/genericity_dsl;67.0;80.0;25.0;5.0;1.0;35.6;3.5373135;181.53731;0.8981571;
http:///jsm.ecore;51.0;54.0;22.0;5.0;1.0;26.6;2.4705882;100.47059;0.575419;
http:///org/generationcp/model/core/organization/property.ecore;71.0;97.0;38.0;5.0;4.0;43.0;3.6197183;147.61972;0.7932619;
http://www.eclipse.org/ecl/platform.ui/objects.ecore;1.0;0.0;2.0;0.0;0.0;0.6;1.0;1.0;0.0;
http://www.reuseware.org/application/abstractcim;10.0;8.0;6.0;3.0;1.0;5.6;2.4;9.4;0.46153846;
http://ecliballs/1.0;5.0;7.0;8.0;0.0;2.0;4.4;1.0;4.0;0.0;
http://ca.uwaterloo.gsd/fsml;3.0;2.0;0.0;0.0;1.0;1.2;1.0;1.0;0.0;
http://reuseware.org/example/ecore/MediatorPattern;2.0;2.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;
http://iec.ch/TC57/2010/CIM-schema-cim15;28.0;16.0;88.0;5.0;0.0;27.4;3.3214285;51.32143;0.5720165;
